"Value","Path","Exists","MeanMatches","CSVMean","ReportedMean"
"1.356338","P:\MGunes\DuplexerTestSuite\Results\GaugeRR_SimRun_20260604_095805_Data\01_OpA\Replicate_01\Base\SIMB001_Base_Z_IB_IOP_25.0C_sweep_1_20260604_095805.csv","True","True","1.356338","1.356338"
"1.348173","P:\MGunes\DuplexerTestSuite\Results\GaugeRR_SimRun_20260604_095805_Data\01_OpA\Replicate_02\Base\SIMB001_Base_Z_IB_IOP_25.0C_sweep_2_20260604_095812.csv","True","True","1.348173","1.348173"
"1.356357","P:\MGunes\DuplexerTestSuite\Results\GaugeRR_SimRun_20260604_095805_Data\02_OpB\Replicate_01\Base\SIMB001_Base_Z_IB_IOP_25.0C_sweep_1_20260604_095807.csv","True","True","1.356357","1.356357"
"1.357089","P:\MGunes\DuplexerTestSuite\Results\GaugeRR_SimRun_20260604_095805_Data\02_OpB\Replicate_02\Base\SIMB001_Base_Z_IB_IOP_25.0C_sweep_2_20260604_095814.csv","True","True","1.357089","1.357089"
"1.358250","P:\MGunes\DuplexerTestSuite\Results\GaugeRR_SimRun_20260604_095805_Data\03_OpC\Replicate_01\Base\SIMB001_Base_Z_IB_IOP_25.0C_sweep_1_20260604_095810.csv","True","True","1.358250","1.358250"
"1.357693","P:\MGunes\DuplexerTestSuite\Results\GaugeRR_SimRun_20260604_095805_Data\03_OpC\Replicate_02\Base\SIMB001_Base_Z_IB_IOP_25.0C_sweep_2_20260604_095817.csv","True","True","1.357693","1.357693"
"1.340032","P:\MGunes\DuplexerTestSuite\Results\GaugeRR_SimRun_20260604_095805_Data\01_OpA\Replicate_01\Base\SIMB002_Base_Z_IB_IOP_25.0C_sweep_1_20260604_095805.csv","True","True","1.340032","1.340032"
"1.348990","P:\MGunes\DuplexerTestSuite\Results\GaugeRR_SimRun_20260604_095805_Data\01_OpA\Replicate_02\Base\SIMB002_Base_Z_IB_IOP_25.0C_sweep_2_20260604_095812.csv","True","True","1.348990","1.348990"
"1.343746","P:\MGunes\DuplexerTestSuite\Results\GaugeRR_SimRun_20260604_095805_Data\02_OpB\Replicate_01\Base\SIMB002_Base_Z_IB_IOP_25.0C_sweep_1_20260604_095808.csv","True","True","1.343746","1.343746"
"1.335866","P:\MGunes\DuplexerTestSuite\Results\GaugeRR_SimRun_20260604_095805_Data\02_OpB\Replicate_02\Base\SIMB002_Base_Z_IB_IOP_25.0C_sweep_2_20260604_095814.csv","True","True","1.335866","1.335866"
"1.341686","P:\MGunes\DuplexerTestSuite\Results\GaugeRR_SimRun_20260604_095805_Data\03_OpC\Replicate_01\Base\SIMB002_Base_Z_IB_IOP_25.0C_sweep_1_20260604_095810.csv","True","True","1.341686","1.341686"
"1.337318","P:\MGunes\DuplexerTestSuite\Results\GaugeRR_SimRun_20260604_095805_Data\03_OpC\Replicate_02\Base\SIMB002_Base_Z_IB_IOP_25.0C_sweep_2_20260604_095817.csv","True","True","1.337318","1.337318"
"1.358524","P:\MGunes\DuplexerTestSuite\Results\GaugeRR_SimRun_20260604_095805_Data\01_OpA\Replicate_01\Base\SIMB003_Base_Z_IB_IOP_25.0C_sweep_1_20260604_095805.csv","True","True","1.358524","1.358524"
"1.357997","P:\MGunes\DuplexerTestSuite\Results\GaugeRR_SimRun_20260604_095805_Data\01_OpA\Replicate_02\Base\SIMB003_Base_Z_IB_IOP_25.0C_sweep_2_20260604_095812.csv","True","True","1.357997","1.357997"
"1.367279","P:\MGunes\DuplexerTestSuite\Results\GaugeRR_SimRun_20260604_095805_Data\02_OpB\Replicate_01\Base\SIMB003_Base_Z_IB_IOP_25.0C_sweep_1_20260604_095808.csv","True","True","1.367279","1.367279"
"1.365012","P:\MGunes\DuplexerTestSuite\Results\GaugeRR_SimRun_20260604_095805_Data\02_OpB\Replicate_02\Base\SIMB003_Base_Z_IB_IOP_25.0C_sweep_2_20260604_095815.csv","True","True","1.365012","1.365012"
"1.358778","P:\MGunes\DuplexerTestSuite\Results\GaugeRR_SimRun_20260604_095805_Data\03_OpC\Replicate_01\Base\SIMB003_Base_Z_IB_IOP_25.0C_sweep_1_20260604_095810.csv","True","True","1.358778","1.358778"
"1.354863","P:\MGunes\DuplexerTestSuite\Results\GaugeRR_SimRun_20260604_095805_Data\03_OpC\Replicate_02\Base\SIMB003_Base_Z_IB_IOP_25.0C_sweep_2_20260604_095817.csv","True","True","1.354863","1.354863"
"1.361354","P:\MGunes\DuplexerTestSuite\Results\GaugeRR_SimRun_20260604_095805_Data\01_OpA\Replicate_01\Remote\SIMR001_Remote_Z_IOP_25.0C_sweep_1_20260604_095806.csv","True","True","1.361354","1.361354"
"1.361862","P:\MGunes\DuplexerTestSuite\Results\GaugeRR_SimRun_20260604_095805_Data\01_OpA\Replicate_02\Remote\SIMR001_Remote_Z_IOP_25.0C_sweep_2_20260604_095813.csv","True","True","1.361862","1.361862"
"1.367026","P:\MGunes\DuplexerTestSuite\Results\GaugeRR_SimRun_20260604_095805_Data\02_OpB\Replicate_01\Remote\SIMR001_Remote_Z_IOP_25.0C_sweep_1_20260604_095808.csv","True","True","1.367026","1.367026"
"1.361601","P:\MGunes\DuplexerTestSuite\Results\GaugeRR_SimRun_20260604_095805_Data\02_OpB\Replicate_02\Remote\SIMR001_Remote_Z_IOP_25.0C_sweep_2_20260604_095815.csv","True","True","1.361601","1.361601"
"1.360701","P:\MGunes\DuplexerTestSuite\Results\GaugeRR_SimRun_20260604_095805_Data\03_OpC\Replicate_01\Remote\SIMR001_Remote_Z_IOP_25.0C_sweep_1_20260604_095811.csv","True","True","1.360701","1.360701"
"1.361218","P:\MGunes\DuplexerTestSuite\Results\GaugeRR_SimRun_20260604_095805_Data\03_OpC\Replicate_02\Remote\SIMR001_Remote_Z_IOP_25.0C_sweep_2_20260604_095817.csv","True","True","1.361218","1.361218"
"1.340227","P:\MGunes\DuplexerTestSuite\Results\GaugeRR_SimRun_20260604_095805_Data\01_OpA\Replicate_01\Remote\SIMR002_Remote_Z_IOP_25.0C_sweep_1_20260604_095806.csv","True","True","1.340227","1.340227"
"1.352662","P:\MGunes\DuplexerTestSuite\Results\GaugeRR_SimRun_20260604_095805_Data\01_OpA\Replicate_02\Remote\SIMR002_Remote_Z_IOP_25.0C_sweep_2_20260604_095813.csv","True","True","1.352662","1.352662"
"1.342760","P:\MGunes\DuplexerTestSuite\Results\GaugeRR_SimRun_20260604_095805_Data\02_OpB\Replicate_01\Remote\SIMR002_Remote_Z_IOP_25.0C_sweep_1_20260604_095809.csv","True","True","1.342760","1.342760"
"1.348834","P:\MGunes\DuplexerTestSuite\Results\GaugeRR_SimRun_20260604_095805_Data\02_OpB\Replicate_02\Remote\SIMR002_Remote_Z_IOP_25.0C_sweep_2_20260604_095815.csv","True","True","1.348834","1.348834"
"1.347951","P:\MGunes\DuplexerTestSuite\Results\GaugeRR_SimRun_20260604_095805_Data\03_OpC\Replicate_01\Remote\SIMR002_Remote_Z_IOP_25.0C_sweep_1_20260604_095811.csv","True","True","1.347951","1.347951"
"1.343297","P:\MGunes\DuplexerTestSuite\Results\GaugeRR_SimRun_20260604_095805_Data\03_OpC\Replicate_02\Remote\SIMR002_Remote_Z_IOP_25.0C_sweep_2_20260604_095818.csv","True","True","1.343297","1.343297"
"1.356995","P:\MGunes\DuplexerTestSuite\Results\GaugeRR_SimRun_20260604_095805_Data\01_OpA\Replicate_01\Remote\SIMR003_Remote_Z_IOP_25.0C_sweep_1_20260604_095806.csv","True","True","1.356995","1.356995"
"1.364412","P:\MGunes\DuplexerTestSuite\Results\GaugeRR_SimRun_20260604_095805_Data\01_OpA\Replicate_02\Remote\SIMR003_Remote_Z_IOP_25.0C_sweep_2_20260604_095813.csv","True","True","1.364412","1.364412"
