"Value","Path","Exists","MeanMatches","CSVMean","ReportedMean"
"1.356496","P:\MGunes\DuplexerTestSuite\Results\GaugeRR_SimRun_20260604_094207_Data\01_OpA\Replicate_01\Base\SIMB001_Base_Z_IB_IOP_25.0C_sweep_1_20260604_094207.csv","True","True","1.356496","1.356496"
"1.359176","P:\MGunes\DuplexerTestSuite\Results\GaugeRR_SimRun_20260604_094207_Data\01_OpA\Replicate_01\Base\SIMB001_Base_Z_IPD_25.0C_sweep_1_20260604_094207.csv","True","True","1.359176","1.359176"
"1.338557","P:\MGunes\DuplexerTestSuite\Results\GaugeRR_SimRun_20260604_094207_Data\01_OpA\Replicate_01\Base\SIMB002_Base_Z_IB_IOP_25.0C_sweep_1_20260604_094207.csv","True","True","1.338557","1.338557"
"1.343548","P:\MGunes\DuplexerTestSuite\Results\GaugeRR_SimRun_20260604_094207_Data\01_OpA\Replicate_01\Base\SIMB002_Base_Z_IPD_25.0C_sweep_1_20260604_094208.csv","True","True","1.343548","1.343548"
"1.356959","P:\MGunes\DuplexerTestSuite\Results\GaugeRR_SimRun_20260604_094207_Data\01_OpA\Replicate_01\Base\SIMB003_Base_Z_IB_IOP_25.0C_sweep_1_20260604_094207.csv","True","True","1.356959","1.356959"
"1.361713","P:\MGunes\DuplexerTestSuite\Results\GaugeRR_SimRun_20260604_094207_Data\01_OpA\Replicate_01\Base\SIMB003_Base_Z_IPD_25.0C_sweep_1_20260604_094208.csv","True","True","1.361713","1.361713"
"1.364317","P:\MGunes\DuplexerTestSuite\Results\GaugeRR_SimRun_20260604_094207_Data\01_OpA\Replicate_01\Remote\SIMR001_Remote_Z_IOP_25.0C_sweep_1_20260604_094208.csv","True","True","1.364317","1.364317"
"1.361294","P:\MGunes\DuplexerTestSuite\Results\GaugeRR_SimRun_20260604_094207_Data\01_OpA\Replicate_01\Remote\SIMR001_Remote_Z_IPV_25.0C_sweep_1_20260604_094208.csv","True","True","1.361294","1.361294"
"1.361216","P:\MGunes\DuplexerTestSuite\Results\GaugeRR_SimRun_20260604_094207_Data\01_OpA\Replicate_01\Remote\SIMR001_Remote_Z_VPV_25.0C_sweep_1_20260604_094209.csv","True","True","1.361216","1.361216"
"1.339478","P:\MGunes\DuplexerTestSuite\Results\GaugeRR_SimRun_20260604_094207_Data\01_OpA\Replicate_01\Remote\SIMR002_Remote_Z_IOP_25.0C_sweep_1_20260604_094208.csv","True","True","1.339478","1.339478"
"1.350027","P:\MGunes\DuplexerTestSuite\Results\GaugeRR_SimRun_20260604_094207_Data\01_OpA\Replicate_01\Remote\SIMR002_Remote_Z_IPV_25.0C_sweep_1_20260604_094208.csv","True","True","1.350027","1.350027"
"1.363172","P:\MGunes\DuplexerTestSuite\Results\GaugeRR_SimRun_20260604_094207_Data\01_OpA\Replicate_01\Remote\SIMR002_Remote_Z_VPV_25.0C_sweep_1_20260604_094209.csv","True","True","1.363172","1.363172"
"1.363824","P:\MGunes\DuplexerTestSuite\Results\GaugeRR_SimRun_20260604_094207_Data\01_OpA\Replicate_01\Remote\SIMR003_Remote_Z_IOP_25.0C_sweep_1_20260604_094208.csv","True","True","1.363824","1.363824"
"1.359660","P:\MGunes\DuplexerTestSuite\Results\GaugeRR_SimRun_20260604_094207_Data\01_OpA\Replicate_01\Remote\SIMR003_Remote_Z_IPV_25.0C_sweep_1_20260604_094209.csv","True","True","1.359660","1.359660"
"1.364271","P:\MGunes\DuplexerTestSuite\Results\GaugeRR_SimRun_20260604_094207_Data\01_OpA\Replicate_01\Remote\SIMR003_Remote_Z_VPV_25.0C_sweep_1_20260604_094209.csv","True","True","1.364271","1.364271"
"1.359007","P:\MGunes\DuplexerTestSuite\Results\GaugeRR_SimRun_20260604_094207_Data\01_OpA\Replicate_02\Base\SIMB001_Base_Z_IB_IOP_25.0C_sweep_2_20260604_094214.csv","True","True","1.359007","1.359007"
